state_abbrev,state_name,scenario_key,sustainability_index,sustainability_tier,sustainability_rank,sustainability_percentile,sustainability_band,demand_pressure_norm,demand_per_100k,supply_per_100k,margin_per_hour,revenue_per_hour,labor_cost_per_hour,wage_revenue_ratio,units_per_hour,scenario_notes,rpp_cost_of_living_index,revenue_per_hour_rpp_adjusted,labor_cost_per_hour_rpp_adjusted,margin_per_hour_rpp_adjusted,wage_revenue_ratio_rpp_adjusted,pt_comp_share_pct_rpp,non_pt_margin_share_pct_rpp
TX,Texas,high,0.460326988,Sustainable,40,0.22,Bottom Quartile,1.12390925,83.85622213,74.61120385,60.179469,121.1769074,60.99743845,0.503375105,4.75,"High throughput: efficient ops, shorter transitions",97.175,124.6996732,60.99743845,63.70223476,0.489154758,48.91547578,51.08452422
UT,Utah,high,0.460347043,Sustainable,39,0.24,Bottom Quartile,0.926984127,84.65586377,91.32396263,59.03157729,115.5326208,56.50104355,0.489048402,4.75,"High throughput: efficient ops, shorter transitions",95.002,121.6107249,56.50104355,65.10968132,0.464605762,46.46057625,53.53942375
UT,Utah,baseline,0.355899905,Sustainable,39,0.24,Bottom Quartile,0.926984127,84.65586377,91.32396263,46.87024878,103.3712923,56.50104355,0.546583508,4.25,Typical OP PT clinic throughput baseline,95.002,108.8095959,56.50104355,52.30855238,0.519265264,51.92652639,48.07347361
UT,Utah,conservative,0.243781419,At Risk,39,0.24,Bottom Quartile,0.926984127,84.65586377,91.32396263,34.70892027,91.20996382,56.50104355,0.619461309,3.75,"Lower throughput: higher complexity/documentation, longer transitions",95.002,96.008467,56.50104355,39.50742345,0.588500632,58.85006325,41.14993675
VA,Virginia,baseline,0.456885343,Sustainable,20,0.62,Upper-Mid Quartile,1.032967033,107.6496037,104.2139781,58.19357657,113.1163039,54.92272733,0.485542096,4.25,Typical OP PT clinic throughput baseline,100.749,112.2753614,54.92272733,57.35263412,0.489178807,48.91788067,51.08211933
VA,Virginia,high,0.565254236,Sustainable,19,0.64,Upper-Mid Quartile,1.032967033,107.6496037,104.2139781,71.50137703,126.4241044,54.92272733,0.434432402,4.75,"High throughput: efficient ops, shorter transitions",100.749,125.4842275,54.92272733,70.56150017,0.437686301,43.76863007,56.23136993
VA,Virginia,conservative,0.341701823,Sustainable,20,0.62,Upper-Mid Quartile,1.032967033,107.6496037,104.2139781,44.88577611,99.80850344,54.92272733,0.550281043,3.75,"Lower throughput: higher complexity/documentation, longer transitions",100.749,99.06649539,54.92272733,44.14376806,0.554402648,55.44026476,44.55973524
VT,Vermont,baseline,0.478889753,Sustainable,16,0.7,Upper-Mid Quartile,0.663636364,112.7026718,169.8259438,60.61766535,114.7417161,54.12405075,0.47170334,4.25,Typical OP PT clinic throughput baseline,96.635,118.7372237,54.12405075,64.61317293,0.455830523,45.58305228,54.41694772
VT,Vermont,conservative,0.36343883,Sustainable,16,0.7,Upper-Mid Quartile,0.663636364,112.7026718,169.8259438,47.11863993,101.2426907,54.12405075,0.534597119,3.75,"Lower throughput: higher complexity/documentation, longer transitions",96.635,104.7681385,54.12405075,50.64408779,0.516607926,51.66079259,48.33920741
VT,Vermont,high,0.587720278,Sustainable,16,0.7,Upper-Mid Quartile,0.663636364,112.7026718,169.8259438,74.11669078,128.2407415,54.12405075,0.422050357,4.75,"High throughput: efficient ops, shorter transitions",96.635,132.7063088,54.12405075,78.58225807,0.407848363,40.78483625,59.21516375
WA,Washington,conservative,0.418569,Sustainable,6,0.9,Top Quartile,1.093582888,104.3546374,95.42453393,52.81067414,104.612776,51.80210187,0.495179498,3.75,"Lower throughput: higher complexity/documentation, longer transitions",108.562,96.36224095,51.80210187,44.56013907,0.537576766,53.75767662,46.24232338
WA,Washington,high,0.644293742,Sustainable,6,0.9,Top Quartile,1.093582888,104.3546374,95.42453393,80.70741441,132.5095163,51.80210187,0.390931182,4.75,"High throughput: efficient ops, shorter transitions",108.562,122.0588385,51.80210187,70.25673666,0.42440271,42.44027102,57.55972898
WA,Washington,baseline,0.534497498,Sustainable,6,0.9,Top Quartile,1.093582888,104.3546374,95.42453393,66.75904428,118.5611462,51.80210187,0.436923086,4.25,Typical OP PT clinic throughput baseline,108.562,109.2105397,51.80210187,57.40843787,0.474332441,47.43324408,52.56675592
