"state_abbrev","state_name","scenario_key","sustainability_index","sustainability_tier","sustainability_rank","sustainability_percentile","sustainability_band","demand_pressure_norm","demand_per_100k","supply_per_100k","margin_per_hour","revenue_per_hour","labor_cost_per_hour","wage_revenue_ratio","units_per_hour","scenario_notes","pt_comp_share_pct","non_pt_margin_share_pct"
"GA","Georgia","conservative","0.2826532265942046168543","Sustainable","33","0.36","Lower-Mid Quartile","1.23678160919540229654","97.25525953460827500000","78.63575817389330800000","38.9780725808135639606625","96.206833398481712625","57.2287608176681486643375","0.5948513093724931174937","3.75","Lower throughput: higher complexity/documentation, longer transitions","59.4851309372493117493700","40.5148690627506882506300"
"GA","Georgia","high","0.5049204234740043877999","Sustainable","32","0.38","Lower-Mid Quartile","1.23678160919540229654","97.25525953460827500000","78.63575817389330800000","64.6332281537420206606625","121.861988971410169325","57.2287608176681486643375","0.4696194547677577243371","4.75","High throughput: efficient ops, shorter transitions","46.9619454767757724337100","53.0380545232242275662900"
"HI","Hawaii","baseline","0.5165303564300351527791","Sustainable","9","0.84","Top Quartile","3.91428571428571422832","95.47370988536185900000","24.39109376633332200000","64.761830352608181375","117.322191328147111750","52.560360975538930375","0.44800016416782542392","4.25","Typical OP PT clinic throughput baseline","44.80001641678254239200","55.19998358321745760800"
"HI","Hawaii","conservative","0.4007704429514385311637","Sustainable","9","0.84","Top Quartile","3.91428571428571422832","95.47370988536185900000","24.39109376633332200000","50.959219608120285875","103.519580583659216250","52.560360975538930375","0.50773351939020214711","3.75","Lower throughput: higher complexity/documentation, longer transitions","50.77335193902021471100","49.22664806097978528900"
"HI","Hawaii","high","0.6260025483062763298495","Sustainable","9","0.84","Top Quartile","3.91428571428571422832","95.47370988536185900000","24.39109376633332200000","78.564441097096076875","131.124802072635007250","52.560360975538930375","0.40084225215015958982","4.75","High throughput: efficient ops, shorter transitions","40.08422521501595898200","59.91577478498404101800"
"IA","Iowa","baseline","0.4057449561643019863772","Sustainable","30","0.42","Lower-Mid Quartile","0.95128939828080229079","103.27432491409100400000","108.56246805728241100000","52.7955654884086893846875","110.137506923678726500","57.3419414352700371153125","0.5206395444832967772254","4.25","Typical OP PT clinic throughput baseline","52.0639544483296777225400","47.9360455516703222774600"
"IA","Iowa","conservative","0.2904024264157246173214","Sustainable","30","0.42","Lower-Mid Quartile","0.95128939828080229079","103.27432491409100400000","108.56246805728241100000","39.8382117326817803846875","97.180153167951817500","57.3419414352700371153125","0.5900581504144030141888","3.75","Lower throughput: higher complexity/documentation, longer transitions","59.0058150414403014188800","40.9941849585596985811200"
"IA","Iowa","high","0.5137802642359208041737","Sustainable","28","0.46","Lower-Mid Quartile","0.95128939828080229079","103.27432491409100400000","108.56246805728241100000","65.7529192441355983846875","123.094860679405635500","57.3419414352700371153125","0.4658353819061076427806","4.75","High throughput: efficient ops, shorter transitions","46.5835381906107642780600","53.4164618093892357219400"
"ID","Idaho","high","0.4584134753276680764389","Sustainable","41","0.2","Bottom Quartile","0.82700421940928269688","99.46729175431375900000","120.27422523353245400000","58.6687537119919641619125","114.676968989331523700","56.0082152773395595380875","0.4883998571897208221421","4.75","High throughput: efficient ops, shorter transitions","48.8399857189720822142100","51.1600142810279177857900"
"ID","Idaho","conservative","0.2430553122667108149797","At Risk","40","0.22","Bottom Quartile","0.82700421940928269688","99.46729175431375900000","120.27422523353245400000","34.5262339247642749619125","90.534449202103834500","56.0082152773395595380875","0.6186398191069797080466","3.75","Lower throughput: higher complexity/documentation, longer transitions","61.8639819106979708046600","38.1360180893020291953400"
